"Start","End","Day","Weekend","Arrival","Charge.Duration","Park.Duration","Energy"
2018-02-02 13:21:00,2018-02-02 14:28:00,"Friday",0,13.35,66.9833333333333,67.1333333333333,5.277
2018-02-02 13:55:00,2018-02-02 15:10:00,"Friday",0,13.92,74.6833333333333,75.0166666666667,7.334
2018-02-02 15:21:00,2018-02-02 17:22:00,"Friday",0,15.35,121.05,121.583333333333,12.342
2018-02-02 18:31:00,2018-02-02 20:30:00,"Friday",0,18.52,118.05,118.266666666667,6.523
2018-02-02 19:14:00,2018-02-02 19:20:00,"Friday",0,19.23,5.25,5.5,0.287
2018-02-02 19:33:00,2018-02-02 21:31:00,"Friday",0,19.55,78.45,117.283333333333,4.222
2018-02-02 19:37:00,2018-02-02 20:00:00,"Friday",0,19.62,23.2666666666667,23.4,1.444
2018-02-02 19:41:00,2018-02-02 22:06:00,"Friday",0,19.68,144.4,144.7,15.216
2018-02-02 20:39:00,2018-02-02 22:51:00,"Friday",0,20.65,132.266666666667,132.45,7.021
2018-02-02 22:38:00,2018-02-03 00:51:00,"Friday",0,22.63,132.683333333333,132.966666666667,14.06
2018-02-02 22:46:00,2018-02-02 23:50:00,"Friday",0,22.77,63.4833333333333,63.7,3.795
2018-02-03 00:41:00,2018-02-03 03:16:00,"Saturday",1,0.68,154.85,155.1,14.66
2018-02-03 00:54:00,2018-02-03 02:51:00,"Saturday",1,0.9,117.15,117.35,8.631
2018-02-03 01:24:00,2018-02-03 02:30:00,"Saturday",1,1.4,66.0333333333333,66.2,6.702
2018-02-03 03:35:00,2018-02-03 05:27:00,"Saturday",1,3.58,111.65,112.133333333333,11.213
2018-02-03 17:09:00,2018-02-03 19:12:00,"Saturday",1,17.15,123.4,123.816666666667,11.406
2018-02-03 18:11:00,2018-02-03 20:00:00,"Saturday",1,18.18,78.9,109.333333333333,4.13
2018-02-03 18:15:00,2018-02-03 20:05:00,"Saturday",1,18.25,109.716666666667,109.866666666667,11.302
2018-02-03 21:31:00,2018-02-03 23:39:00,"Saturday",1,21.52,128.05,128.366666666667,7.05
2018-02-03 23:56:00,2018-02-04 01:08:00,"Saturday",1,23.93,72.2166666666667,72.5666666666667,3.776
2018-02-04 02:01:00,2018-02-04 02:02:00,"Sunday",1,2.02,0.95,1.25,0.061
2018-02-04 02:11:00,2018-02-04 12:45:00,"Sunday",1,2.18,187.65,634.55,10.544
2018-02-04 03:02:00,2018-02-04 04:22:00,"Sunday",1,3.03,79.2333333333333,79.5333333333333,8.023
2018-02-04 16:03:00,2018-02-04 19:45:00,"Sunday",1,16.05,188.866666666667,221.833333333333,9.437
2018-02-04 18:25:00,2018-02-04 18:52:00,"Sunday",1,18.42,26.1833333333333,26.45,2.833
2018-02-04 21:09:00,2018-02-04 23:01:00,"Sunday",1,21.15,111.466666666667,111.866666666667,12.121
2018-02-05 15:45:00,2018-02-05 23:43:00,"Monday",0,15.75,240.033333333333,477.983333333333,8.895
2018-02-05 19:28:00,2018-02-05 22:46:00,"Monday",0,19.47,87.5166666666667,197.733333333333,4.948
2018-02-05 19:48:00,2018-02-05 21:12:00,"Monday",0,19.8,84.05,84.2,5.035
2018-02-05 21:03:00,2018-02-05 22:30:00,"Monday",0,21.05,86.65,86.8666666666667,5.255
2018-02-06 00:01:00,2018-02-06 18:38:00,"Tuesday",0,0.02,68.05,1116.98333333333,3.973
2018-02-06 04:21:00,2018-02-06 07:52:00,"Tuesday",0,4.35,210.966666666667,211.533333333333,20.959
2018-02-06 13:22:00,2018-02-06 14:23:00,"Tuesday",0,13.37,61.5,61.75,5.263
2018-02-06 16:23:00,2018-02-06 18:13:00,"Tuesday",0,16.38,109.433333333333,109.966666666667,11.403
2018-02-06 18:16:00,2018-02-06 18:55:00,"Tuesday",0,18.27,27.3833333333333,39.7333333333333,2.927
2018-02-06 19:02:00,2018-02-06 20:04:00,"Tuesday",0,19.03,61.7666666666667,62.0166666666667,6.185
