"Start","End","Day","Weekend","Arrival","Park.Duration","Energy"
2017-01-10 21:11:00,2017-01-10 21:49:00,"Tuesday",0,21.18,38,12.33
2017-01-10 21:32:00,2017-01-10 21:39:00,"Tuesday",0,21.53,7,3.44
2017-01-10 21:47:00,2017-01-10 21:53:00,"Tuesday",0,21.78,6,4.22
2017-01-10 22:01:00,2017-01-10 22:17:00,"Tuesday",0,22.02,16,9.56
2017-01-10 22:01:00,2017-01-10 22:08:00,"Tuesday",0,22.02,7,5.03
2017-01-10 22:31:00,2017-01-10 22:49:00,"Tuesday",0,22.52,18,10.12
2017-01-10 22:47:00,2017-01-10 23:10:00,"Tuesday",0,22.78,23,11.88
2017-01-10 22:51:00,2017-01-10 23:13:00,"Tuesday",0,22.85,22,14.9
2017-01-10 23:03:00,2017-01-10 23:23:00,"Tuesday",0,23.05,20,14.43
2017-01-10 23:11:00,2017-01-10 23:17:00,"Tuesday",0,23.18,6,3.31
2017-01-10 23:19:00,2017-01-10 23:21:00,"Tuesday",0,23.32,2,1.27
2017-01-10 23:39:00,2017-01-10 23:53:00,"Tuesday",0,23.65,14,8.41
2017-01-11 00:06:00,2017-01-11 00:18:00,"Wednesday",0,0.1,12,6.26
2017-01-11 00:43:00,2017-01-11 01:11:00,"Wednesday",0,0.72,28,14.39
2017-01-11 00:48:00,2017-01-11 01:05:00,"Wednesday",0,0.8,17,9.24
2017-01-11 01:06:00,2017-01-11 01:29:00,"Wednesday",0,1.1,23,12.17
2017-01-11 01:28:00,2017-01-11 02:00:00,"Wednesday",0,1.47,32,18.43
2017-01-11 02:01:00,2017-01-11 02:26:00,"Wednesday",0,2.02,25,13.2
2017-01-11 02:33:00,2017-01-11 02:51:00,"Wednesday",0,2.55,18,9.87
2017-01-11 02:53:00,2017-01-11 03:10:00,"Wednesday",0,2.88,17,9.94
2017-01-11 03:25:00,2017-01-11 03:32:00,"Wednesday",0,3.42,7,4.89
2017-01-11 04:04:00,2017-01-11 04:27:00,"Wednesday",0,4.07,23,13.22
2017-01-11 04:08:00,2017-01-11 04:11:00,"Wednesday",0,4.13,3,2.34
2017-01-11 04:23:00,2017-01-11 04:43:00,"Wednesday",0,4.38,20,13.48
2017-01-11 04:44:00,2017-01-11 05:04:00,"Wednesday",0,4.73,20,10.9
2017-01-11 04:47:00,2017-01-11 12:11:00,"Wednesday",0,4.78,444,21.37
2017-01-11 05:05:00,2017-01-11 05:48:00,"Wednesday",0,5.08,43,14.83
2017-01-11 05:15:00,2017-01-11 05:47:00,"Wednesday",0,5.25,32,15.81
2017-01-11 05:50:00,2017-01-11 06:33:00,"Wednesday",0,5.83,43,10.7
2017-01-11 07:05:00,2017-01-11 07:18:00,"Wednesday",0,7.08,13,4.19
2017-01-11 07:09:00,2017-01-11 08:01:00,"Wednesday",0,7.15,52,3.08
2017-01-11 07:12:00,2017-01-11 15:06:00,"Wednesday",0,7.2,474,25.44
2017-01-11 07:23:00,2017-01-11 07:41:00,"Wednesday",0,7.38,18,9.82
2017-01-11 07:34:00,2017-01-11 08:07:00,"Wednesday",0,7.57,33,2.18
2017-01-11 07:49:00,2017-01-11 12:48:00,"Wednesday",0,7.82,299,17.612
2017-01-11 08:28:00,2017-01-11 12:07:00,"Wednesday",0,8.47,219,13.426
2017-01-11 08:29:00,2017-01-11 11:29:00,"Wednesday",0,8.48,180,10.19
2017-01-11 08:48:00,2017-01-11 09:28:00,"Wednesday",0,8.8,40,15.87
2017-01-11 08:54:00,2017-01-11 09:02:00,"Wednesday",0,8.9,8,1.35
2017-01-11 09:02:00,2017-01-11 11:10:00,"Wednesday",0,9.03,128,12.25
